year,energy,LE
1960,1336.60,70.81707317
1961,1365.80,70.97317073
1962,1432.20,70.94243902
1963,1531.40,70.91170732
1964,1625.30,70.88097561
1965,1713.10,70.8502439
1966,1805.80,70.8195122
1967,1898.90,70.86926829
1968,2025.90,70.91902439
1969,2137.60,70.96878049
1970,2210.30,71.01853659
1971,2331.20,71.06829268
1972,2447.80,71.45756098
1973,2615.20,71.84682927
1974,2694.80,72.23609756
1975,2730.80,72.62536585
1976,2905.90,73.01463415
1977,2985.10,73.34439024
1978,3053.00,73.67414634
1979,3131.40,74.00390244
1980,3146.30,74.33365854
1981,3237.60,74.66341463
1982,3122.70,74.90487805
1983,3221.20,75.14634146
1984,3370.70,75.38780488
1985,3402.50,75.62926829
1986,3514.40,75.87073171
1987,3623.00,76.15170732
1988,3832.70,76.43268293
1989,3945.90,76.71365854
1990,3949.90,76.99463415
1991,3982.70,77.27560976
1992,4081.80,77.37804878
1993,4181.90,77.87804878
1994,4365.30,77.87804878
1995,4505.50,77.82926829
1996,4611.00,78.07804878
1997,4777.60,78.4804878
1998,4884.70,78.63170732
1999,4971.00,78.93170732
2000,5011.80,79.23414634
2001,5097.00,79.63414634
2002,5138.70,79.93658537
2003,5284.80,80.23902439
2004,5399.20,80.4902439
2005,5547.00,80.84146341
2006,5726.10,81.04146341
2007,5742.50,81.29268293
2008,5858.20,81.39512195
2009,5844.40,81.54390244
2010,5910.40,81.69512195
2011,5953.80,81.89512195
2012,5928.30,82.04634146
2013,5859.50,82.14878049
2014,5919.60,82.25121951
